1,255,0,0,4027,89,226,172,149,511
1,255,0,0,4206,88,216,168,146,495
1,255,0,0,4206,88,216,168,146,496
2,255,7,0,4005,98,240,185,158,549
2,255,7,0,3394,117,303,221,181,671
2,255,7,0,4242,90,224,174,152,514
3,255,15,0,4045,99,248,190,164,563
3,255,15,0,3442,110,326,229,198,705
3,255,15,0,4248,108,246,197,168,572
4,255,22,0,4145,132,303,241,204,704
4,255,22,0,3540,343,942,680,579,2092
4,255,22,0,4137,601,1322,1066,891,3166
5,255,30,0,4561,840,1528,1364,1115,3765
5,255,30,0,4518,807,1497,1322,1083,3788
5,255,30,0,4904,992,1688,1581,1305,4475
6,255,38,0,4908,1288,2026,1971,1591,5464
6,255,38,0,4848,1284,2049,1973,1591,5482
6,255,38,0,4825,1300,2050,1983,1590,5488
7,255,45,0,4897,1410,2070,2083,1646,5663
7,255,45,0,4882,1403,2071,2076,1641,5653
7,255,45,0,4880,1410,2077,2084,1646,5670
8,255,53,0,4919,1492,2093,2158,1686,5798
8,255,53,0,4904,1494,2094,2158,1683,5793
8,255,53,0,4903,1499,2100,2165,1688,5814
9,255,61,0,4974,1616,2114,2268,1745,5985
9,255,61,0,4989,1640,2112,2287,1754,6011
9,255,61,0,4997,1664,2117,2309,1766,6051
10,255,68,0,5022,1681,2105,2319,1770,6055
10,255,68,0,5043,1747,2123,2381,1805,6166
10,255,68,0,5031,1734,2126,2371,1800,6155
11,6,7209,259,-11358,1122,1169,3195,4838,9046
11,6,7209,259,-26413,1149,1170,3188,4785,8984
11,6,7209,259,14559,1174,1171,3199,4774,8986
12,32,84,0,6364,2404,1146,2613,1841,5607
12,32,84,0,6335,2377,1141,2583,1816,5548
12,32,84,0,6331,2386,1141,2590,1819,5502
13,255,91,0,5196,2068,2099,2637,1929,6521
13,255,91,0,5197,2075,2098,2642,1931,6529
13,255,91,0,5161,2051,2113,2625,1921,6513
14,255,99,0,5195,2193,2133,2750,1987,6722
14,255,99,0,5179,2220,2154,2778,2002,6785
14,255,99,0,5192,2225,2161,2788,2013,6814
15,255,107,0,5185,2268,2177,2828,2033,6890
15,255,107,0,5184,2316,2192,2872,2056,6973
15,255,107,0,5172,2299,2201,2861,2052,6970
16,255,114,0,5205,2390,2222,2948,2105,7130
16,255,114,0,5625,2937,2754,3723,2794,9215
16,255,114,0,5675,3087,2889,3921,2956,9721
17,255,122,0,5676,3202,2902,4020,3007,9882
17,255,122,0,5671,3162,2895,3984,2986,9818
17,255,122,0,5676,3180,2946,4025,3027,9955
18,255,130,0,5667,3241,2943,4070,3043,10013
18,255,130,0,5667,3265,2946,4091,3054,10047
18,255,130,0,5664,3258,2944,4084,3049,10035
19,255,137,0,5663,3381,2957,4189,3102,10201
19,255,137,0,5661,3360,2954,4170,3091,10171
19,255,137,0,5663,3373,2954,4181,3097,10187
20,255,145,0,5663,3418,2958,4219,3116,10247
20,255,145,0,5660,3441,2959,4238,3124,10275
20,255,145,0,5656,3438,2956,4233,3119,10263
21,255,153,0,5659,3508,2961,4292,3149,10357
21,255,153,0,5656,3551,2965,4328,3166,10413
21,255,153,0,5655,3559,2964,4334,3168,10421
22,255,160,0,5741,3524,2963,4326,3199,10410
22,255,160,0,5654,3604,2969,4372,3187,10482
22,255,160,0,5648,3592,2968,4361,3179,10462
23,255,168,0,5645,3689,2976,4442,3218,10591
23,255,168,0,5658,3740,2980,4488,3246,10665
23,255,168,0,5657,3746,2980,4493,3248,10674
24,255,175,0,5655,3844,2988,4575,3288,10801
24,255,175,0,5640,3766,2977,4503,3244,10677
